,id,type,sectionId,sectionName,webPublicationDate,webTitle,webUrl,apiUrl,isHosted,pillarId,pillarName
0,world/2020/jan/09/chinas-sars-like-illness-worries-health-experts,article,world,World news,2020-01-09T19:10:17Z,China's Sars-like illness worries health experts,https://www.theguardian.com/world/2020/jan/09/chinas-sars-like-illness-worries-health-experts,https://content.guardianapis.com/world/2020/jan/09/chinas-sars-like-illness-worries-health-experts,False,pillar/news,News
1,world/2020/jan/14/case-of-mystery-coronavirus-found-outside-china-for-the-first-time-thailand,article,world,World news,2020-01-14T06:44:02Z,Case of mystery Sars-like illness found outside China for first time,https://www.theguardian.com/world/2020/jan/14/case-of-mystery-coronavirus-found-outside-china-for-the-first-time-thailand,https://content.guardianapis.com/world/2020/jan/14/case-of-mystery-coronavirus-found-outside-china-for-the-first-time-thailand,False,pillar/news,News
2,society/2020/jan/18/expert-questions-effectiveness-airport-screening-new-coronavirus,article,society,Society,2020-01-18T19:20:36Z,Expert questions effectiveness of coronavirus airport screening,https://www.theguardian.com/society/2020/jan/18/expert-questions-effectiveness-airport-screening-new-coronavirus,https://content.guardianapis.com/society/2020/jan/18/expert-questions-effectiveness-airport-screening-new-coronavirus,False,pillar/news,News
3,world/2020/jan/18/no-airport-screening-for-new-sars-like-virus-yet-china,article,world,World news,2020-01-18T19:20:36Z,No screening for new Sars-like virus at UK airports – yet,https://www.theguardian.com/world/2020/jan/18/no-airport-screening-for-new-sars-like-virus-yet-china,https://content.guardianapis.com/world/2020/jan/18/no-airport-screening-for-new-sars-like-virus-yet-china,False,pillar/news,News
4,australia-news/2020/jan/18/coronavirus-australias-top-health-official-says-there-is-no-current-need-to-enhance-airport-screening,article,australia-news,Australia news,2020-01-18T10:29:33Z,Coronavirus: Australia's top health official says there is 'no current need' to enhance airport screening,https://www.theguardian.com/australia-news/2020/jan/18/coronavirus-australias-top-health-official-says-there-is-no-current-need-to-enhance-airport-screening,https://content.guardianapis.com/australia-news/2020/jan/18/coronavirus-australias-top-health-official-says-there-is-no-current-need-to-enhance-airport-screening,False,pillar/news,News
5,world/2020/jan/18/coronavirus-what-airport-measures-are-in-place-to-detect-for-sick-passengers,article,world,World news,2020-01-18T09:21:23Z,Coronavirus: what airport measures are in place to detect sick passengers?,https://www.theguardian.com/world/2020/jan/18/coronavirus-what-airport-measures-are-in-place-to-detect-for-sick-passengers,https://content.guardianapis.com/world/2020/jan/18/coronavirus-what-airport-measures-are-in-place-to-detect-for-sick-passengers,False,pillar/news,News
6,science/2020/jan/21/coronavirus-screenings-global-travelling-airport,article,science,Science,2020-01-21T19:57:24Z,Coronavirus: airports around the world carry out screenings,https://www.theguardian.com/science/2020/jan/21/coronavirus-screenings-global-travelling-airport,https://content.guardianapis.com/science/2020/jan/21/coronavirus-screenings-global-travelling-airport,False,pillar/news,News
7,commentisfree/2020/jan/21/the-guardian-view-on-the-new-coronavirus-be-alert-not-afraid,article,commentisfree,Opinion,2020-01-21T18:29:54Z,"The Guardian view on the new coronavirus: be alert, not afraid | Editorial",https://www.theguardian.com/commentisfree/2020/jan/21/the-guardian-view-on-the-new-coronavirus-be-alert-not-afraid,https://content.guardianapis.com/commentisfree/2020/jan/21/the-guardian-view-on-the-new-coronavirus-be-alert-not-afraid,False,pillar/opinion,Opinion
8,money/2020/jan/21/european-shares-dip-as-chinese-coronavirus-concerns-deepen,article,business,Business,2020-01-21T18:23:35Z,European shares dip as Chinese coronavirus concerns deepen,https://www.theguardian.com/money/2020/jan/21/european-shares-dip-as-chinese-coronavirus-concerns-deepen,https://content.guardianapis.com/money/2020/jan/21/european-shares-dip-as-chinese-coronavirus-concerns-deepen,False,pillar/news,News
9,world/2020/jan/21/coronavirus-chinese-hospitals-not-testing-patients-say-relatives,article,world,World news,2020-01-21T12:41:46Z,"Coronavirus: Chinese hospitals not testing patients, say relatives",https://www.theguardian.com/world/2020/jan/21/coronavirus-chinese-hospitals-not-testing-patients-say-relatives,https://content.guardianapis.com/world/2020/jan/21/coronavirus-chinese-hospitals-not-testing-patients-say-relatives,False,pillar/news,News
